0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84887,6.99148,0,5.12023,9.96304,9.31032,0,4.76587,3.97782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0925,18.0471,0,22.082,10.0917,10.1017,11.0012,20.6272,11.1779,10.2084,14.9425,7.03962,5.85625,8.8381,12.5288,15.0411,18.4492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49421,3.89554,4.16637,4.58471,4.67253,4.6952,0,0,5.13777,3.67228,0,0,4.27158,0,0,7.37152,33.3331,32.5653,32.2732,42.8375,40.0533,38.9901,49.1712,43.884,44.4556,46.5842,38.2511,41.4488,42.4503,40.8936,51.1343,56.7074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.0057,39.1933,32.1894,47.9267,32.894,33.0594,32.2413,33.0342,20.6912,26.4609,26.6805,28.9794,0,21.3517,17.1608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.9474,38.7814,55.8055,72.661,46.9768,56.7277,51.7041,51.337,65.9789,56.571,40.6176,48.2131,42.5272,40.9558,46.0178,48.0356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5.70891,5.7372,11.1053,5.07414,10.3907,8.93029,8.1296,10.3834,6.48501,5.50301,8.08176,7.10102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84483,12.2674,6.6301,9.12932,8.56763,6.15778,13.633,13.2807,11.7679,15.4584,9.44258,9.75912,7.71659,7.76004,14.8671,0,3.74565,0,0,5.73426,0,5.20473,7.93015,5.65888,5.88434,6.57303,0,3.07102,0,0,4.53889,3.66518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56064,7.5802,6.85809,9.58529,12.6813,7.66714,6.32662,9.6566,11.5215,11.8957,9.95726,9.55145,9.17463,12.3421,13.4442,0,0,0,0,3.77816,0,0,0,0,0,0,3.95478,3.99477,5.3095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5.3465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83995,4.37149,0,0,0,0,0,14.6968,0,3.08972,4.80151,5.69208,0,0,0,0,0,0,0,0,0,0,8.19103,0,0,6.81754,7.85467,5.10977,5.74122,4.89909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2.94229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62355,5.06694,0,0,5.88801,4.85295,0,4.05537,6.66119,4.99372,5.34465,3.44913,4.38312,4.00323,3.04963,0,0,0,0,0,0,8.28008,7.06228,3.78276,0,3.46649,5.43351,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86687,6.29338,6.46034,7.98239,9.45352,9.24642,9.42513,12.1459,12.0687,13.8022,9.50883,5.87493,10.4293,5.73702,7.99032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,12.4215,3.68628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1762,13.7921,9.82885,13.2711,14.086,11.2023,5.02712,8.44067,17.1337,17.0917,14.7688,24.0987,6.57691,17.4553,6.53913,9.79128,9.932,13.0373,12.4357,7.20422,10.8046,10.512,12.1996,12.9683,13.0484,10.7676,10.1308,8.90445,10.4932,13.2882,6.58057,54.4476,0,0,0,0,43.2469,4.94612,0,0,0,0,32.6045,27.1739,27.9772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.3528,19.1977,7.60345,13.3288,12.3222,15.1141,8.90527,14.6077,8.40717,11.9122,14.153,7.11307,7.61838,6.49924,4.83485,8.33308,8.11207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86256,0,0,0,0,3.45218,0,0,0,0,0,0,0,0,0,0,13.9985,7.52256,10.6658,7.34834,9.5623,9.14663,13.4119,12.1203,14.6374,11.7506,7.20937,9.20509,10.0654,10.0327,8.87779,12.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
